# x_m, y_m, w_tr_right_m, w_tr_left_m
5.2982716, 0.5528924, 1.1, 1.1
5.1002046, 0.533321, 1.1, 1.1
4.9015546, 0.5109679, 1.1, 1.1
4.7039014, 0.4857254, 1.1, 1.1
4.506198, 0.4573798, 1.1, 1.1
4.3092986, 0.4262877, 1.1, 1.1
4.1124985, 0.3929858, 1.1, 1.1
3.9161856, 0.3581208, 1.1, 1.1
3.7199158, 0.3220912, 1.1, 1.1
3.523875, 0.2853926, 1.1, 1.1
3.3278176, 0.248437, 1.1, 1.1
3.1317249, 0.2116579, 1.1, 1.1
2.9355777, 0.1754648, 1.1, 1.1
2.7391465, 0.1401929, 1.1, 1.1
2.5426161, 0.1062065, 1.1, 1.1
2.3456933, 0.0738117, 1.1, 1.1
2.1484806, 0.0434221, 1.1, 1.1
1.9510586, 0.0154367, 1.1, 1.1
1.752805, -0.0098427, 1.1, 1.1
1.5551907, -0.03189, 1.1, 1.1
1.3555291, -0.0506483, 1.1, 1.1
1.1585717, -0.0653773, 1.1, 1.1
0.9571631, -0.0762066, 1.1, 1.1
0.7585447, -0.0823027, 1.1, 1.1
0.5593245, -0.0833518, 1.1, 1.1
0.3583911, -0.078619, 1.1, 1.1
0.1600862, -0.0673802, 1.1, 1.1
-0.0360225, -0.0486832, 1.1, 1.1
-0.2348533, -0.0203938, 1.1, 1.1
-0.430493, 0.0187854, 1.1, 1.1
-0.6220121, 0.0709297, 1.1, 1.1
