x,y,v
-11.8738384,18.7843088,7.0847906
-11.9883677,18.9482767,6.9697669
-12.1030022,19.1121393,6.8541396
-12.2177493,19.2759071,6.7380217
-12.3326488,19.4396328,6.6215267
-12.4476485,19.6032344,6.5044238
-12.5627638,19.7667210,6.3867840
-12.6780698,19.9301805,6.2687468
-12.7934901,20.0934801,6.1500692
-12.9090486,20.2566229,6.0307948
-13.0248718,20.4197484,5.9110889
-13.1408398,20.5826424,5.7906638
-13.2570000,20.7453207,5.6695614
-13.3735486,20.9079921,5.5479702
-13.4902745,21.0702944,5.4254909
-13.6072940,21.2323193,5.3021645
-13.7249586,21.3942858,5.1782127
-13.8429347,21.5554686,5.0529189
-13.9615846,21.7164529,4.9265095
-14.0808800,21.8774126,4.7992050
-14.2001552,22.0376963,4.6688543
-14.3198674,22.1980786,4.5366889
-14.4396773,22.3582709,4.4018760
-14.5595361,22.5184402,4.2622646
-14.6792228,22.6786989,4.1206322
-14.7984262,22.8393305,3.9757988
-14.9165837,23.0007894,3.8305019
-15.0326412,23.1634905,3.6853503
-15.1456843,23.3286860,3.5487990
-15.2538003,23.4969471,3.4277318
-15.3551887,23.6691298,3.3240265
-15.4482945,23.8463259,3.2618300
-15.5315012,24.0280605,3.2066110
-15.6040100,24.2143463,3.1563423
-15.6652416,24.4047806,3.0919956
-15.7147007,24.5984033,3.0168204
-15.7520797,24.7948202,2.9215313
-15.7767876,24.9930729,2.8104799
-15.7881276,25.1928012,2.6890728
-15.7852890,25.3927771,2.5492214
-15.7673523,25.5923625,2.3884652
-15.7336556,25.7893610,2.2113644
-15.6823557,25.9831838,1.9964286
-15.6097268,26.1699196,1.7421047
-15.5166268,26.3462252,1.4461185
-15.3939561,26.5027324,1.0697042
-15.2207739,26.6024977,1.2672324
-15.0190786,26.6471705,1.6139775
-14.8241115,26.6634207,1.9647126
-14.6359790,26.6948196,2.2363974
-14.4410198,26.7316224,2.4298885
-14.2420342,26.7599471,2.5824541
-14.0392686,26.7753907,2.7158030
-13.8394735,26.7778855,2.8349130
-13.6394740,26.7691034,2.9475097
-13.4385479,26.7502380,3.0568623
-13.2407204,26.7230168,3.1587880
-13.0429402,26.6884404,3.2603855
-12.8470254,26.6480289,3.3614326
-12.6517640,26.6027066,3.4641536
-12.4588340,26.5533208,3.5677400
-12.2656614,26.4993184,3.6738469
-12.0743247,26.4416256,3.7808773
-11.8842160,26.3804845,3.8891359
-11.6945673,26.3159983,3.9985116
-11.5064481,26.2488766,4.1082313
-11.3190242,26.1791593,4.2182994
-11.1322954,26.1071377,4.3281573
-10.9467026,26.0332587,4.4377376
-10.7615643,25.9575030,4.5465673
-10.5770541,25.8801576,4.6543141
-10.3933665,25.8014989,4.7611742
-10.2100448,25.7214961,4.8663816
-10.0272184,25.6403372,4.9698060
-9.8449936,25.5581810,5.0718897
-9.6631237,25.4750092,5.1719400
-9.4816629,25.3909235,5.2698584
-9.3006491,25.3060085,5.3662935
-9.1199725,25.2202721,5.4607601
-8.9396979,25.1337978,5.5528890
-8.7597290,25.0465915,5.6435350
-8.5800447,24.9586859,5.7324081
-8.4007679,24.8701718,5.8189162
-8.2217367,24.7809970,5.9040957
-8.0429768,24.6911998,5.9878153
-7.8646101,24.6008658,6.0693254
-7.6864728,24.5099337,6.1496733
-7.5085770,24.4184286,6.2288098
-7.3310570,24.3264373,6.3059006
-7.1537556,24.2338943,6.3819652
-6.9766790,24.1408166,6.4570001
-6.7999597,24.0472870,6.5301517
-6.6234534,23.9532410,6.6023884
-6.4471656,23.8586915,6.6737154
-6.2712130,23.7637110,6.7433393
-6.0954731,23.6682422,6.8121278
-5.9199507,23.5722948,6.8800966
-5.7447438,23.4759297,6.9465207
-5.5697514,23.3790976,7.0121796
-5.3949781,23.2818064,7.0770942
-5.2205048,23.1841061,7.1405892
-5.0462485,23.0859547,7.2033882
-4.8722152,22.9873591,7.2655060
-4.6984693,22.8883594,7.3263046
-4.5249441,22.7889203,7.3864732
-4.3516484,22.6890491,7.4460007
-4.1786273,22.5887739,7.5043174
-4.0058333,22.4880689,7.5620522
-3.8332764,22.3869408,7.6191744
-3.6609833,22.2854065,7.6751871
-3.4889252,22.1834494,7.7306574
