x,y,v,theta
-3.345398,5.7248937,9.9043029,2.134865301963937
-3.452323,5.8939097,9.9430469,2.1348640338584914
-3.5592446,6.0629208,9.9813854,2.1348636975934774
-3.6661665,6.2319325,10.019429,2.1348629650588484
-3.7730912,6.4009489,10.057244,2.1348630335025005
-3.8800125,6.5699599,10.0946675,2.1348620505085916
-3.9869342,6.7389719,10.1318098,2.1348620078813796
-4.0938588,6.9079885,10.1687325,2.134861765820186
-4.2007798,7.0769995,10.2052765,2.134861627950021
-4.3077014,7.2460115,10.2415526,2.134861473251897
-4.414626,7.4150283,10.2776175,2.1348618779067228
-4.5215469,7.5840391,10.3133153,2.1348620505085916
-4.6284686,7.7530511,10.3487579,2.1348627408911827
-4.7353935,7.9220679,10.3839973,2.1348631024418214
-4.8423145,8.0910784,10.4188802,2.1348642753864366
-4.9492366,8.2600902,10.4535201,2.1348648536188017
-5.056162,8.429107,10.4879643,2.134865974081098
-5.1630833,8.5981169,10.5220616,2.134867457468944
-5.2700059,8.7671283,10.5559278,2.134868923830734
-5.3769322,8.936145,10.5896054,2.1348709154007577
-5.4838541,9.105154,10.6229446,2.134872752332708
-5.5907777,9.274165,10.6560644,2.1348750636040665
-5.6977052,9.4431813,10.6890022,2.1348776590885548
-5.804628,9.6121892,10.7216094,2.1348803841624426
-5.9115529,9.7811994,10.7540084,2.1348831608323033
-6.018482,9.9502152,10.7862315,2.134886895053554
-6.1254061,10.1192217,10.8181307,2.134890352977828
-6.2323326,10.2882307,10.8498277,2.134900579698205
-6.339265,10.4572452,10.8813455,2.1349329111450746
-6.4461967,10.6262465,10.9124676,2.135021057360696
-6.5531473,10.7952447,10.9433058,2.135170101394916
-6.660124,10.9642284,10.9738879,2.1353804770236042
-6.7671341,11.1331862,11.0038894,2.1356729444368914
-6.8741945,11.3021141,11.0334994,2.1360666899947036
-6.9813198,11.4709973,11.0627507,2.1365789077314217
-7.088534,11.6398294,11.0912137,2.137216145483175
-7.1958551,11.8085921,11.1192174,2.137975814440479
-7.3033006,11.9772673,11.1467929,2.1388533807364136
-7.4109005,12.1458582,11.1735387,2.1398437766537026
-7.5186646,12.3143382,11.1935023,2.140909985198271
-7.6266025,12.4826942,11.2060583,2.142028481892711
-7.7347392,12.6509458,11.0999108,2.14321939764421
